TEAM_ID,TEAM_ID,TEAM_NAME,PO_APPEARANCES,DIV_TITLES,CONF_TITLES,LEAGUE_TITLES
1610612737,1610612737,Atlanta Hawks,94,24,0,2
1610612738,1610612738,Boston Celtics,58,31,9,17
1610612739,1610612739,Cleveland Cavaliers,22,7,5,1
1610612740,1610612740,New Orleans Pelicans,14,2,0,0
1610612741,1610612741,Chicago Bulls,35,10,6,6
1610612742,1610612742,Dallas Mavericks,23,4,2,1
1610612743,1610612743,Denver Nuggets,27,9,0,0
1610612744,1610612744,Golden State Warriors,70,24,12,12
1610612745,1610612745,Houston Rockets,68,16,8,4
1610612746,1610612746,Los Angeles Clippers,32,4,0,0
1610612747,1610612747,Los Angeles Lakers,124,70,38,34
1610612748,1610612748,Miami Heat,22,15,6,3
1610612749,1610612749,Milwaukee Bucks,33,16,3,2
1610612750,1610612750,Minnesota Timberwolves,9,1,0,0
1610612751,1610612751,Brooklyn Nets,44,8,4,0
1610612752,1610612752,New York Knicks,42,9,4,2
1610612753,1610612753,Orlando Magic,16,7,2,0
1610612754,1610612754,Indiana Pacers,27,6,1,0
1610612755,1610612755,Philadelphia 76ers,102,28,10,6
1610612756,1610612756,Phoenix Suns,30,8,3,0
1610612757,1610612757,Portland Trail Blazers,37,6,3,1
1610612758,1610612758,Sacramento Kings,58,12,0,2
1610612759,1610612759,San Antonio Spurs,39,22,6,5
1610612760,1610612760,Oklahoma City Thunder,64,22,8,2
1610612761,1610612761,Toronto Raptors,12,7,1,1
1610612762,1610612762,Utah Jazz,60,24,4,0
1610612763,1610612763,Memphis Grizzlies,22,2,0,0
1610612764,1610612764,Washington Wizards,60,16,8,2
1610612765,1610612765,Detroit Pistons,84,24,10,6
1610612766,1610612766,Charlotte Hornets,22,0,0,0
